category,lang,topic
general,ar,هل أصبحت الشهرة على الإنترنت أهم من الإنجاز الحقيقي
general,en,Are online followers becoming more valuable than real achievements
general,ar,هل تؤثر سرعة الحياة الحديثة على عمق تفكير الإنسان
general,en,Is modern fast living reducing people's ability to think deeply
general,ar,هل السفر ضرورة لتوسيع التفكير أم مجرد رفاهية
general,en,Is travel essential for expanding thinking or just a luxury
general,ar,هل ما زال الناس يثقون بالمحتوى الإخباري على الإنترنت
general,en,Do people still trust news content on the internet today
general,ar,هل تؤثر المقارنات على وسائل التواصل في رضا الإنسان عن حياته
general,en,Are social media comparisons damaging people's life satisfaction
general,ar,هل أصبح الوقت أهم مورد يملكه الإنسان اليوم
general,en,Has time become the most valuable resource people own today
general,ar,هل يمكن أن يعيش الإنسان حياة بسيطة في عالم معقد
general,en,Can people truly live simply in an increasingly complex world
general,ar,هل التغيير السريع في العالم يجعل التخطيط طويل المدى صعبا
general,en,Does rapid global change make long term planning difficult
general,ar,هل أصبحت الهوية الرقمية جزءا من هوية الإنسان الحقيقية
general,en,Is digital identity becoming part of a person's real identity
general,ar,هل يجب على الجميع تعلم مهارات التواصل العامة
general,en,Should everyone learn public speaking and communication skills
tech,ar,هل سيجعل الذكاء الاصطناعي معظم الوظائف البشرية غير ضرورية
tech,en,Will artificial intelligence make most human jobs unnecessary
tech,ar,هل يجب تنظيم الذكاء الاصطناعي بقوانين صارمة
tech,en,Should artificial intelligence be strictly regulated by governments
tech,ar,هل أصبحت الخصوصية الرقمية وهما في عصر التطبيقات الذكية
tech,en,Has digital privacy become an illusion in the app era
tech,ar,هل اعتماد الناس على التكنولوجيا يقلل من مهارات التفكير
tech,en,Does heavy technology use weaken people's thinking skills
tech,ar,هل يمكن للذكاء الاصطناعي أن يصبح شريكا إبداعيا للإنسان
tech,en,Can artificial intelligence become a true creative partner
tech,ar,هل سيغير الواقع الافتراضي طريقة عيش الناس مستقبلا
tech,en,Will virtual reality change how people live daily life
tech,ar,هل يجب أن يتعلم الأطفال البرمجة في سن مبكرة
tech,en,Should children learn programming at an early age
tech,ar,هل تصبح الهواتف الذكية أكثر ضررا من فائدتها
tech,en,Are smartphones becoming more harmful than useful
tech,ar,هل يمكن للذكاء الاصطناعي أن يحل محل المعلم
tech,en,Can artificial intelligence replace teachers in education
tech,ar,هل سيؤدي التطور التقني إلى عزلة اجتماعية أكبر
tech,en,Will rapid technological growth increase social isolation
finance,ar,هل العمل الحر أكثر أمانا من الوظيفة التقليدية اليوم
finance,en,Is freelancing safer than traditional employment today
finance,ar,هل يجب على الشباب الاستثمار مبكرا حتى بدخل صغير
finance,en,Should young people start investing even with small income
finance,ar,هل العملات الرقمية مستقبل النظام المالي العالمي
finance,en,Are cryptocurrencies the future of global finance
finance,ar,هل الادخار أفضل من الاستثمار في اقتصاد متقلب
finance,en,Is saving better than investing in uncertain economies
finance,ar,هل التعليم المالي أهم مهارة غير مدرسية اليوم
finance,en,Is financial literacy the most important modern life skill
finance,ar,هل يمكن لأي شخص بناء ثروة من الإنترنت
finance,en,Can anyone realistically build wealth from the internet
finance,ar,هل القروض الاستهلاكية تدمر الاستقرار المالي للأفراد
finance,en,Do consumer loans destroy personal financial stability
finance,ar,هل العمل عبر الإنترنت يغير مفهوم الدخل التقليدي
finance,en,Is online work redefining the concept of income
finance,ar,هل يجب أن يركز الشباب على زيادة الدخل أم تقليل النفقات
finance,en,Should young adults focus more on income or expenses
finance,ar,هل الاستثمار في المهارات أفضل من الاستثمار المالي
finance,en,Is investing in skills better than investing money
