category,lang,topic
general,ar,هل أصبح التواصل الرقمي بديلاً حقيقياً عن اللقاءات الشخصية؟
general,ar,الصدق الكامل في العلاقات نعمة أم نقمة؟
general,ar,هل يستحق الكمال أن ندفع ثمنه من صحتنا النفسية؟
general,ar,الحياة في المدينة الكبيرة تُنتج إنساناً أفضل من الريف
general,ar,هل باتت الخصوصية الشخصية رفاهية لا يملكها الجميع؟
general,ar,الفشل تجربة ضرورية أم وقت مهدر يمكن تجنبه
general,ar,هل أصبح التطوع الاجتماعي مجرد صورة للمظهر لا للمضمون؟
general,ar,العيش في اللحظة الحاضرة أسلوب حياة أم هروب من المسؤولية؟
general,ar,هل تغيّر مفهوم الصداقة الحقيقية في جيل الشبكات الاجتماعية؟
general,ar,الاختلاف في الرأي مع الأسرة حق شخصي أم خروج عن الأدب؟
general,en,Is being "always available" online destroying our ability to rest?
general,en,Should people be required to volunteer in their communities?
general,en,Is it possible to be truly objective about your own life choices?
general,en,Has the concept of privacy become a privilege for the wealthy?
general,en,Are we too obsessed with productivity to enjoy simply existing?
general,en,Is public shaming on social media ever justified?
general,en,Does living alone make a person stronger or lonelier?
general,en,Are morning routines overrated as a path to success?
general,en,Should people be more honest about their failures in public?
general,en,Is the pursuit of happiness making us more unhappy?
tech,ar,هل الذكاء الاصطناعي سيلغي الإبداع البشري في نهاية المطاف؟
tech,ar,خوارزميات التوصية تتحكم في قراراتنا أكثر مما نعترف به
tech,ar,هل يجب تقييد عمر استخدام الهاتف الذكي لمن هم دون الخامسة عشرة؟
tech,ar,الميتافيرس مستقبل حقيقي أم فقاعة تسويقية ستنفجر قريباً؟
tech,ar,هل أصبح التعلم بدون أدوات ذكاء اصطناعي مضيعة للوقت؟
tech,ar,الاعتماد على GPT في الكتابة يُضعف قدرات التفكير النقدي
tech,ar,هل يجب أن تكون بيانات المستخدم ملكاً شخصياً قابلاً للبيع؟
tech,ar,تطبيقات التواصل الاجتماعي صمّمت لإدمانك لا لخدمتك
tech,ar,هل الروبوتات المنزلية ستُغيّر بنية الأسرة خلال عشر سنوات؟
tech,ar,أمن البيانات الشخصية أهم من راحة استخدام التطبيقات المجانية
tech,en,Is AI-generated art a threat to human creative industries?
tech,en,Should social media algorithms be regulated by governments?
tech,en,Has remote work technology made us more productive or more burned out?
tech,en,Are we moving too fast with AI deployment without understanding the risks?
tech,en,Should children under 13 be completely banned from smartphones?
tech,en,Is the metaverse already dead before it truly started?
tech,en,Does big tech have too much influence over global information flow?
tech,en,Should AI-written content be labeled the same way food is labeled?
tech,en,Is cybersecurity the most important skill of the next decade?
tech,en,Are we outsourcing our memory and thinking to our devices?
finance,ar,الاستثمار في العملات الرقمية مقامرة مقبولة أم خطر غير محسوب؟
finance,ar,هل يجب تعليم الثقافة المالية في المدارس كمادة إلزامية؟
finance,ar,الشراء الآن والدفع لاحقاً يُشجع على الإنفاق غير المسؤول
finance,ar,هل الثروة الموروثة تُقلل من طموح الأجيال الجديدة وجهدها؟
finance,ar,التضخم سلاح تدفع ثمنه الطبقة المتوسطة أكثر من الفقراء
finance,ar,هل امتلاك المنزل لا يزال استثماراً ذكياً في 2025؟
finance,ar,العمل الحر مالياً أكثر استقراراً من الوظيفة التقليدية على المدى البعيد
finance,ar,هل يجب فرض ضريبة إضافية على الثروات المتراكمة فوق حد معين؟
finance,ar,الادخار بدون استثمار استراتيجية خاسرة في ظل التضخم
finance,ar,هل المسؤولية المالية الشخصية أهم من أي دعم حكومي؟
finance,en,Is financial literacy the most important skill schools are failing to teach?
finance,en,Should people be taxed more for leaving large inheritances to their children?
finance,en,Is buying a home in 2025 still a smart financial decision?
finance,en,Are cryptocurrency investments speculation or legitimate wealth-building?
finance,en,Should employers be required to be fully transparent about salary ranges?
finance,en,Is the gig economy creating financial freedom or financial instability?
finance,en,Does the obsession with passive income lead to unrealistic financial expectations?
finance,en,Should governments provide a universal basic income to all citizens?
finance,en,Is personal debt always a sign of poor financial discipline?
finance,en,Are stock market investments accessible enough for working-class people?
interview,ar,هل يجب على المتقدم إخفاء بعض مهاراته لتجنب التهديد للمدير؟
interview,ar,الثقة الزائدة في مقابلة العمل تُفيد أكثر مما تضر في أغلب الأحيان
interview,ar,هل أسئلة الضغط في المقابلات وسيلة فعّالة لقياس الكفاءة الحقيقية؟
interview,ar,السيرة الذاتية المصممة بعناية أهم من المهارة الفعلية في الحصول على الوظيفة
interview,ar,هل يجب أن يسأل المتقدم عن الراتب في أول مقابلة عمل؟
interview,ar,الشخصية الانبساطية لها أفضلية غير عادلة في مقابلات العمل
interview,ar,هل المقابلات عبر الفيديو تُقيّم الموظف بشكل موضوعي مثل اللقاء المباشر؟
interview,ar,الصدق الكامل عن نقاط ضعفك في المقابلة جرأة أم حماقة؟
interview,ar,هل يجب أن تسأل عن ثقافة الشركة قبل الاستفسار عن المهام؟
interview,ar,المؤهلات الأكاديمية فقدت قيمتها التنافسية في سوق العمل الحديث
interview,en,Should job interviews include a practical test instead of behavioral questions?
interview,en,Is it ever smart to negotiate salary in the very first interview?
interview,en,Do video interviews unfairly disadvantage introverted candidates?
interview,en,Should candidates research the interviewer personally before the meeting?
interview,en,Is it acceptable to lie slightly on your CV to get past initial screening?
interview,en,Are traditional panel interviews an outdated and ineffective hiring tool?
interview,en,Should interviewers be required to share the job's salary range upfront?
interview,en,Does dressing formally for an interview still matter in startup culture?
interview,en,Is asking about work-life balance in an interview seen as a red flag by employers?
interview,en,Are personality tests used in hiring processes reliable or biased?
hot_takes,ar,وسائل التواصل الاجتماعي أضرت بالنسيج الاجتماعي أكثر مما نفعت
hot_takes,ar,الجامعة التقليدية لم تعد ضرورة بل خيار بين خيارات متعددة
hot_takes,ar,المؤتمرات والاجتماعات الطويلة هدر منظّم للوقت والطاقة
hot_takes,ar,التقاعد المبكر هدف غير واقعي يروّج له الأثرياء فقط
hot_takes,ar,الزواج المبكر يمنع الشخص من اكتشاف هويته الحقيقية
hot_takes,ar,العمل عن بعد أثبت أن المكاتب التقليدية كانت لوازم غير ضرورية
hot_takes,ar,معظم رواد الأعمال الناجحين نجحوا بسبب التوقيت لا الموهبة
hot_takes,ar,الأخبار اليومية تُنتج قلقاً مزمناً أكثر مما تُنتج وعياً حقيقياً
hot_takes,ar,نظام التقييم بالنجوم على الإنترنت أفسد ثقافة التجربة الصادقة
hot_takes,ar,الحياة في بلد غير بلدك الأصلي تجعلك إنساناً أكثر نضجاً
hot_takes,en,Most corporate team-building activities are a waste of everyone's time
hot_takes,en,The four-day workweek will become standard globally within five years
hot_takes,en,Hustle culture is a scam designed to normalize exploitation
hot_takes,en,Most successful entrepreneurs succeeded because of luck not talent
hot_takes,en,Higher education is becoming a poor return on investment for most people
hot_takes,en,News media creates more anxiety than awareness in its daily consumers
hot_takes,en,Open-plan offices were one of the worst workplace experiments ever
hot_takes,en,The self-help industry profits from insecurity more than it creates growth
hot_takes,en,Most networking events are performances that rarely lead to real opportunity
hot_takes,en,Retirement as traditionally defined is an outdated concept for Gen Z
health,ar,هل يجب أن يكون النوم الكافي أولوية رسمية في بيئات العمل؟
health,ar,الصحة النفسية لا تزال أقل أهمية من الصحة الجسدية في ثقافتنا العربية
health,ar,تطبيقات اللياقة البدنية تُحفز البعض وتُسبب الإحباط للآخرين
health,ar,هل الأكل الصحي أصبح مرتبطاً بالمستوى الاقتصادي أكثر من الوعي؟
health,ar,العلاج النفسي ضرورة وقائية يجب أن يلجأ إليها الجميع لا المرضى فقط
health,ar,ساعات العمل الطويلة خطر صحي معترف به لكن مقبول اجتماعياً بشكل غريب
health,ar,هل الأدوية النفسية أصبحت حلاً سريعاً بدل معالجة الأسباب الحقيقية؟
health,ar,البيئة الاجتماعية المحيطة بك أكثر تأثيراً على صحتك من الرياضة
health,ar,هل يجب أن تكون الرعاية الصحية النفسية مجانية ومتاحة للجميع؟
health,ar,الوقاية الصحية استثمار تتجاهله الحكومات لأنها لا ترى عائداً سريعاً
health,en,Should mental health days be included as official paid leave at work?
health,en,Is the wellness industry selling solutions to problems it helped create?
health,en,Does the healthcare system incentivize treatment more than prevention?
health,en,Is chronic stress the defining health crisis of this generation?
health,en,Should unhealthy food products carry warning labels like cigarettes do?
health,en,Are fitness trackers helping people get healthier or just more anxious?
health,en,Is therapy becoming a luxury product instead of an accessible service?
health,en,Does social media have a measurable and direct impact on teen mental health?
health,en,Should companies be legally responsible for employee burnout caused by overwork?
health,en,Is the global obsession with weight loss distracting from overall wellness?
culture,ar,هل فقدت الأجيال الجديدة الارتباط الحقيقي بموروثها الثقافي؟
culture,ar,الترجمة الثقافية في الأفلام تُشوّه هوية الشعوب أكثر مما تعرّفها
culture,ar,هل الموسيقى الشعبية مرآة صادقة للمجتمع أم صانعة لمزاجه؟
culture,ar,العولمة قتلت التنوع الثقافي باسم الانفتاح والتواصل
culture,ar,الفن الرقمي أضعف قيمة التجربة الفنية الأصيلة عند الجمهور
culture,ar,هل يمكن الفصل بين العمل الفني وشخصية صاحبه الإشكالية؟
culture,ar,التراث الغير مادي كالحكايات واللهجات في خطر حقيقي من الاندثار
culture,ar,هل المهرجانات الثقافية الكبرى أصبحت فعاليات تجارية أكثر منها ثقافية؟
culture,ar,الهوية الثقافية المزدوجة ثروة تُغني الفرد لا أزمة تشتته
culture,ar,هل التقليد الثقافي الغربي في دول الخليج يمثل خسارة حضارية فعلية؟
culture,en,Is cultural appropriation always harmful or can it be a form of appreciation?
culture,en,Has globalization destroyed more cultures than it has connected?
culture,en,Should governments fund traditional art forms that are losing audiences?
culture,en,Is pop culture becoming too homogenized across the world?
culture,en,Can you separate a problematic artist from their artistic work?
culture,en,Is the English language dominance in global media a form of cultural power?
culture,en,Are film remakes and reboots a sign of creative bankruptcy in Hollywood?
culture,en,Does tourism help preserve local cultures or slowly destroy them?
culture,en,Is street art a legitimate art form or vandalism with good aesthetics?
culture,en,Should cultural heritage sites be digitally preserved before physical restoration?
education,ar,نظام الامتحانات التقليدي يقيس الحفظ لا القدرة على التفكير الحقيقي
education,ar,هل يجب استبدال الكتب المدرسية الورقية بالمحتوى الرقمي كلياً؟
education,ar,التعليم الذاتي عبر الإنترنت بدأ يتفوق على التعليم الأكاديمي في مجالات كثيرة
education,ar,هل الدرجات والعلامات تُدمر الفضول الطبيعي عند الطلاب؟
education,ar,الذكاء العاطفي يجب أن يُدرَّس كمادة رسمية في المناهج المدرسية
